"gene"	"p_value"	"estimate"	"BH"
"142"	"LONRF2"	0.0888888888888888	Inf	0.633828160143949
"143"	"INHBB"	1	0	1
"144"	"NRP2"	1	0	1
"145"	"ABCA12"	1	0	1
"146"	"SP110"	1	0	1
"147"	"RBM44"	1	0	1
"148"	"ZCCHC3"	1	0	1
"149"	"LZTS3"	1	0	1
"150"	"FAM182B"	1	0	1
"151"	"DNMT3B"	1	0	1
"152"	"STK4"	1	0	1
"153"	"TMPRSS2"	1	0	1
"154"	"IL17RA"	1	0	1
"155"	"GSTT2"	1	0	1
"156"	"TRIOBP"	1	0	1
"157"	"DOCK3"	1	0	1
"158"	"CCDC54"	1	0	1
"159"	"HEG1"	1	0	1
"160"	"ZBBX"	1	0	1
"161"	"COQ2"	1	0	1
"162"	"USP38"	1	0	1
"163"	"NSUN2"	1	0	1
"164"	"PRDM9"	0.170786516853933	10.8909548109933	0.827504134275072
"165"	"SPEF2"	1	0	1
"166"	"ENC1"	1	0	1
"167"	"ABLIM3"	0.170786516853933	10.8909548109933	0.827504134275072
"168"	"TAP2"	1	0	1
"169"	"KCNK17"	1	0	1
"170"	"NFKBIE"	1	0	1
"171"	"PGK2"	0.0888888888888888	Inf	0.633828160143949
"172"	"STX7"	1	0	1
"173"	"CARD11"	1	0	1
"174"	"ZAN"	1	0	1
"175"	"CFTR"	1	0	1
"176"	"PODXL"	0.0888888888888888	Inf	0.633828160143949
"177"	"GPR124"	1	0	1
"178"	"ODF1"	0.315487302314114	3.67391382113383	1
"179"	"DPYS"	0.116220131223065	4.9787627604232	0.821234528050644
"180"	"ENPP2"	1	0	1
"181"	"FAM83H"	1	0	1
"182"	"PLEC"	0.0888888888888888	Inf	0.633828160143949
"183"	"SCRT1"	1	0	1
"184"	"JAK2"	0.590183186387541	0	1
"185"	"ANKRD18B"	1	0.922916805732437	1
"186"	"ODF2"	1	0	1
"187"	"LRRC26"	0.0888888888888888	Inf	0.633828160143949
"188"	"PPP2R3B"	0.170786516853933	10.8909548109933	0.827504134275072
"189"	"FRMPD4"	1	0	1
"190"	"SCML2"	1	0	1
"191"	"SUPT20HL2"	1	0	1
"192"	"SUPT20HL1"	1	0	1
"193"	"ZNF711"	1	0	1
"194"	"CELSR2"	0.246169560776302	5.5131938040198	1
"195"	"CBX4"	1	0	1
"196"	"HSPBP1"	0.379162902098847	2.74050267948522	1
"197"	"LAMA5"	0.170786516853933	10.8909548109933	0.827504134275072
"198"	"KRTAP10-6"	1	0	1
"199"	"KCTD8"	1	0	1
"200"	"ADAMTS19"	1	0	1
"201"	"SLC4A2"	1	0	1
"202"	"SALL3"	1	0	1
"203"	"ATP13A2"	1	0	1
"204"	"FUCA1"	1	0	1
"205"	"CATSPER4"	1	0	1
"206"	"EFCAB14"	1	0	1
"207"	"USH2A"	1	0	1
"208"	"FAM35BP"	0.379162902098847	2.74050267948522	1
"209"	"CUEDC2"	1	0	1
"210"	"COL17A1"	0.170786516853933	10.8909548109933	0.827504134275072
"211"	"MKI67"	1	0	1
"212"	"PWWP2B"	0.0888888888888888	Inf	0.633828160143949
"213"	"GRIN2B"	1	0	1
"214"	"ABCC9"	1	0	1
"215"	"MDM2"	1	0	1
"216"	"STAB2"	1	0	1
"217"	"NCOR2"	1	0	1
"218"	"SPERT"	1	0	1
"219"	"TRIM13"	1	0	1
"220"	"ACOT4"	1	0.640925566067499	1
"221"	"GGA2"	1	0	1
"222"	"ATXN2L"	1	0	1
"223"	"CDH15"	1	0	1
"224"	"TP53"	1	0	1
"225"	"FOXN1"	1	0	1
"226"	"ATAD5"	1	0	1
"227"	"TBX21"	1	0	1
"228"	"TBX2"	1	0	1
"229"	"TMEM200C"	1	0	1
"230"	"MADCAM1"	1	0	1
"231"	"TCF3"	1	0	1
"232"	"ADAMTS10"	1	0	1
"233"	"MUC16"	1	0	1
"234"	"TMED1"	1	0	1
"235"	"PLPPR2"	0.0888888888888888	Inf	0.633828160143949
"236"	"UQCRFS1"	1	0	1
"237"	"BCL3"	1	0	1
"238"	"ERCC2"	1	0	1
"239"	"RASIP1"	1	0	1
"240"	"ZNF473"	1	0	1
"241"	"CTU1"	1	0	1
"242"	"PPP6R1"	0.170786516853933	10.8909548109933	0.827504134275072
"243"	"SOCS5"	1	0	1
"244"	"MRPL53"	1	0	1
"245"	"ATOH8"	1	0	1
"246"	"SNED1"	0.0888888888888888	Inf	0.633828160143949
"247"	"SLC4A11"	1	0	1
"248"	"PANK2"	0.0888888888888888	Inf	0.633828160143949
"249"	"GATA5"	1	0	1
"250"	"RRP1"	1	0	1
"251"	"ADARB1"	1	0	1
"252"	"PATZ1"	0.0888888888888888	Inf	0.633828160143949
"253"	"SREBF2"	1	0	1
"254"	"CHDH"	0.170786516853933	10.8909548109933	0.827504134275072
"255"	"TSC22D2"	1	0	1
"256"	"CRIPAK"	1	0	1
"257"	"DRD5"	1	0	1
"258"	"PCDH7"	0.0888888888888888	Inf	0.633828160143949
"259"	"NMU"	0.315487302314114	3.67391382113383	1
"260"	"FRG1"	1	0	1
"261"	"PDCD6"	0.0888888888888888	Inf	0.633828160143949
"262"	"ZFYVE16"	1	0	1
"263"	"MSH3"	1	0	1
"264"	"RGMB"	1	0	1
"265"	"DND1"	1	0	1
"266"	"N4BP3"	1	0	1
"267"	"RNF39"	1	0	1
"268"	"TNXB"	1	0	1
"269"	"KPNA7"	1	0	1
"270"	"RELN"	1	0	1
"271"	"TAS2R41"	1	0	1
"272"	"KMT2C"	0.0200204290091931	24.56021585398	0.633828160143949
"273"	"HR"	1	0	1
"274"	"TNFRSF10A"	1	0	1
"275"	"EPPK1"	1	0	1
"276"	"FAM120AOS"	1	0	1
"277"	"SLC44A1"	1	0	1
"278"	"PTGS1"	0.170786516853933	10.8909548109933	0.827504134275072
"279"	"WDR34"	1	0	1
"280"	"ARSE"	1	0	1
"281"	"TEX13A"	1	0	1
"282"	"MAMLD1"	0.0888888888888888	Inf	0.633828160143949
"283"	"TCHH"	1	0	1
"284"	"SLC30A1"	1	0	1
"285"	"FARP2"	0.0888888888888888	Inf	0.633828160143949
"286"	"SON"	1	0	1
"287"	"FNDC3B"	1	0	1
"288"	"FZD1"	1	0	1
"289"	"TTLL11"	1	0	1
"290"	"TPSD1"	1	0	1
"291"	"GNB1"	1	0	1
"292"	"PDPN"	0.0888888888888888	Inf	0.633828160143949
"293"	"EPHA10"	1	0	1
"294"	"KCNQ4"	1	0	1
"295"	"WNT2B"	1	0	1
"296"	"F5"	1	0	1
"297"	"C1orf106"	1	0	1
"298"	"KCTD3"	1	0	1
"299"	"HECTD2"	1	0	1
"300"	"KRTAP5-5"	1	0	1
"301"	"SYT8"	1	0	1
"302"	"PRKCDBP"	0.0888888888888888	Inf	0.633828160143949
"303"	"MTNR1B"	1	0	1
"304"	"APOLD1"	1	0	1
"305"	"ARNTL2"	1	0	1
"306"	"FOXN4"	1	0	1
"307"	"DNAH10"	1	0	1
"308"	"C14orf39"	1	0	1
"309"	"ALDH6A1"	1	0	1
"310"	"PRPF8"	0.0888888888888888	Inf	0.633828160143949
"311"	"KRTAP4-3"	0.379162902098847	2.74050267948522	1
"312"	"SDK2"	1	0	1
"313"	"NPTX1"	1	0	1
