"gene"	"p_value"	"estimate"	"BH"
"1592"	"DLGAP2"	0.0200204290091931	24.56021585398	0.633828160143949
"1593"	"MYOM2"	1	0	1
"1594"	"CSMD1"	1	0	1
"1595"	"AGPAT5"	1	0	1
"1596"	"TNKS"	1	0	1
"1597"	"PRSS55"	0.170786516853933	10.8909548109933	0.827504134275072
"1598"	"RP1L1"	1	0	1
"1599"	"GATA4"	1	0	1
"1600"	"USP17L2"	1	0	1
"1601"	"KIAA1456"	0.170786516853933	10.8909548109933	0.827504134275072
"1602"	"DOK2"	1	0	1
"1603"	"XPO7"	0.170786516853933	10.8909548109933	0.827504134275072
"1604"	"LOXL2"	0.00699126092384519	Inf	0.633828160143949
"1605"	"NKX2-6"	1	0	1
"1606"	"NEFL"	1	0	1
"1607"	"DOCK5"	1	0	1
"1608"	"ESCO2"	1	0	1
"1609"	"NUGGC"	1	0	1
"1610"	"PURG"	0.0888888888888888	Inf	0.633828160143949
"1611"	"PPAPDC1B"	0.491157045249643	1.794922601213	1
"1612"	"KAT6A"	1	0	1
"1613"	"PXDNL"	0.0888888888888888	Inf	0.633828160143949
"1614"	"RP1"	1	0	1
"1615"	"XKR4"	0.0888888888888888	Inf	0.633828160143949
"1616"	"TOX"	1	0	1
"1617"	"CHD7"	1	0	1
"1618"	"YTHDF3"	1	0	1
"1619"	"VCPIP1"	1	0	1
"1620"	"PPP1R42"	0.0888888888888888	Inf	0.633828160143949
"1621"	"PREX2"	0.170786516853933	10.8909548109933	0.827504134275072
"1622"	"NCOA2"	1	0	1
"1623"	"KCNB2"	1	0	1
"1624"	"ZFHX4"	1	0	1
"1625"	"ZBTB10"	1	0	1
"1626"	"PMP2"	0.0888888888888888	Inf	0.633828160143949
"1627"	"ATP6V0D2"	1	0	1
"1628"	"DCAF4L2"	1	0	1
"1629"	"TMEM55A"	1	0	1
"1630"	"LRRC69"	0.0888888888888888	Inf	0.633828160143949
"1631"	"RAD54B"	1	0	1
"1632"	"FBXO43"	1	0	1
"1633"	"PABPC1"	0.170786516853933	10.8909548109933	0.827504134275072
"1634"	"RIMS2"	1	0	1
"1635"	"DCSTAMP"	1	0	1
"1636"	"LRP12"	0.170786516853933	10.8909548109933	0.827504134275072
"1637"	"ZFPM2"	1	0	1
"1638"	"PKHD1L1"	0.0888888888888888	Inf	0.633828160143949
"1639"	"CSMD3"	0.315487302314114	3.67391382113383	1
"1640"	"SLC30A8"	1	0	1
"1641"	"COL14A1"	1	0	1
"1642"	"POU5F1B"	0.0888888888888888	Inf	0.633828160143949
"1643"	"ADCY8"	0.0213565746621233	8.80706754746913	0.633828160143949
"1644"	"KCNQ3"	1	0	1
"1645"	"SLA"	1	0	1
"1646"	"TG"	1	0	1
"1647"	"FAM135B"	1	0	1
"1648"	"COL22A1"	1	0	1
"1649"	"ARC"	1	0	1
"1650"	"TIGD5"	1	0	1
"1651"	"OPLAH"	0.170786516853933	10.8909548109933	0.827504134275072
"1652"	"GPAA1"	0.246169560776302	5.5131938040198	1
"1653"	"MROH1"	1	0	1
"1654"	"TONSL"	1	0	1
"1655"	"DMRT3"	1	0	1
"1656"	"PTPRD"	0.0888888888888888	Inf	0.633828160143949
"1657"	"FREM1"	1	0	1
"1658"	"LINGO2"	0.0888888888888888	Inf	0.633828160143949
"1659"	"TMEM8B"	1	0	1
"1660"	"CCIN"	1	0	1
"1661"	"SPATA31A6"	1	0	1
"1662"	"CNTNAP3B"	1	0	1
"1663"	"SPATA31A7"	1	0	1
"1664"	"KLF9"	0.170786516853933	10.8909548109933	0.827504134275072
"1665"	"TMEM2"	1	0	1
"1666"	"GDA"	0.170786516853933	10.8909548109933	0.827504134275072
"1667"	"RORB"	1	0	1
"1668"	"TRPM6"	1	0	1
"1669"	"PRUNE2"	0.0888888888888888	Inf	0.633828160143949
"1670"	"TLE4"	1	0	1
"1671"	"SPATA31D1"	1	0	1
"1672"	"SYK"	1	0	1
"1673"	"NOL8"	1	0	1
"1674"	"ECM2"	1	0	1
"1675"	"NUTM2G"	1	0	1
"1676"	"CCDC180"	1	0	1
"1677"	"HEMGN"	1	0	1
"1678"	"COL15A1"	1	0	1
"1679"	"GRIN3A"	0.170786516853933	10.8909548109933	0.827504134275072
"1680"	"OR13C8"	1	0	1
"1681"	"ZNF462"	1	0	1
"1682"	"SVEP1"	1	0	1
"1683"	"MUSK"	1	0	1
"1684"	"FKBP15"	1	0	1
"1685"	"ALAD"	1	0	1
"1686"	"C9orf43"	1	0	1
"1687"	"AKNA"	0.674027563419176	1.27088006090208	1
"1688"	"PAPPA"	0.0888888888888888	Inf	0.633828160143949
"1689"	"TLR4"	1	0	1
"1690"	"MORN5"	0.246169560776302	5.5131938040198	1
"1691"	"ZBTB26"	1	0	1
"1692"	"CRB2"	1	0	1
"1693"	"OLFML2A"	1	0	1
"1694"	"GOLGA1"	1	0	1
"1695"	"SH2D3C"	1	0	1
"1696"	"SPTAN1"	1	0	1
"1697"	"SETX"	1	0	1
"1698"	"DDX31"	1	0	1
"1699"	"GTF3C4"	1	0	1
"1700"	"GBGT1"	1	0	1
"1701"	"ADAMTS13"	1	0	1
"1702"	"COL5A1"	1	0	1
"1703"	"SOHLH1"	1	0	1
"1704"	"KCNT1"	1	0	1
"1705"	"LCN6"	0.0888888888888888	Inf	0.633828160143949
"1706"	"SLC34A3"	0.246169560776302	5.5131938040198	1
"1707"	"NOXA1"	1	0	1
"1708"	"EHMT1"	1	0	1
"1709"	"ASMTL"	1	0	1
"1710"	"CD99"	1	0	1
"1711"	"FAM9A"	0.0870042677924224	6.25748261517028	0.633828160143949
"1712"	"AMELX"	1	0	1
"1713"	"ARHGAP6"	0.379162902098847	2.74050267948522	1
"1714"	"FAM9C"	0.246169560776302	5.5131938040198	1
"1715"	"PHKA2"	0.0888888888888888	Inf	0.633828160143949
"1716"	"GPR64"	1	0	1
"1717"	"MAGEB6"	0.0888888888888888	Inf	0.633828160143949
"1718"	"DCAF8L1"	0.170786516853933	10.8909548109933	0.827504134275072
"1719"	"TAB3"	1	0	1
"1720"	"FTHL17"	1	0	1
"1721"	"DMD"	1	0	1
"1722"	"FAM47B"	1	0	1
"1723"	"CXorf22"	1	0	1
"1724"	"CXorf30"	1	0	1
"1725"	"FAM47C"	1	0	1
"1726"	"USP9X"	1	0	1
"1727"	"SLC9A7"	0.0200204290091931	24.56021585398	0.633828160143949
"1728"	"NDUFB11"	1	0	1
"1729"	"RBM10"	1	0	1
"1730"	"ZNF81"	0.0888888888888888	Inf	0.633828160143949
"1731"	"ZNF630"	1	0	1
"1732"	"WAS"	1	0	1
"1733"	"HDAC6"	1	0	1
"1734"	"OTUD5"	0.0888888888888888	Inf	0.633828160143949
"1735"	"KCND1"	1	0	1
"1736"	"GRIPAP1"	1	0	1
"1737"	"PRAF2"	0.0888888888888888	Inf	0.633828160143949
"1738"	"CACNA1F"	1	0	1
"1739"	"PPP1R3F"	0.170786516853933	10.8909548109933	0.827504134275072
"1740"	"CLCN5"	1	0	1
"1741"	"AKAP4"	0.246169560776302	5.5131938040198	1
"1742"	"CCNB3"	1	0	1
"1743"	"DGKK"	0.170786516853933	10.8909548109933	0.827504134275072
"1744"	"MAGED1"	0.0888888888888888	Inf	0.633828160143949
"1745"	"GPR173"	1	0	1
"1746"	"IQSEC2"	1	0	1
"1747"	"HUWE1"	1	0	1
"1748"	"WNK3"	1	0	1
"1749"	"GNL3L"	1	0	1
"1750"	"ITIH6"	1	0	1
"1751"	"KLF8"	1	0	1
"1752"	"SPIN3"	1	0	1
"1753"	"SPIN2B"	1	0	1
"1754"	"SPIN2A"	1	0	1
"1755"	"HEPH"	1	0	1
"1756"	"FAM155B"	1	0	1
"1757"	"OTUD6A"	0.0888888888888888	Inf	0.633828160143949
"1758"	"TAF1"	1	0	1
"1759"	"OGT"	1	0	1
"1760"	"NHSL2"	1	0	1
"1761"	"TBX22"	1	0	1
"1762"	"BRWD3"	1	0	1
"1763"	"SATL1"	1	0	1
"1764"	"KLHL4"	1	0	1
"1765"	"PCDH11X"	0.0888888888888888	Inf	0.633828160143949
"1766"	"PCDH19"	0.0888888888888888	Inf	0.633828160143949
"1767"	"TNMD"	1	0	1
"1768"	"TSPAN6"	1	0	1
"1769"	"CSTF2"	1	0	1
"1770"	"ARL13A"	1	0	1
"1771"	"DRP2"	1	0	1
"1772"	"BTK"	1	0	1
"1773"	"ARMCX2"	1	0	1
"1774"	"NXF5"	1	0	1
"1775"	"BEX5"	1	0	1
"1776"	"GPRASP2"	1	0	1
"1777"	"BEX1"	1	0	1
"1778"	"BEX4"	1	0	1
"1779"	"RAB40A"	1	0	1
"1780"	"TCEAL1"	1	0	1
"1781"	"H2BFM"	1	0	1
"1782"	"IL1RAPL2"	1	0	1
"1783"	"NRK"	1	0	1
"1784"	"SERPINA7"	1	0	1
"1785"	"TBC1D8B"	1	0	1
"1786"	"MORC4"	1	0	1
"1787"	"COL4A6"	1	0	1
"1788"	"COL4A5"	1	0	1
"1789"	"IRS4"	1	0	1
"1790"	"AMMECR1"	1	0	1
"1791"	"RGAG1"	1	0	1
"1792"	"CAPN6"	1	0	1
"1793"	"DCX"	1	0	1
"1794"	"ALG13"	1	0	1
"1795"	"TRPC5"	1	0	1
"1796"	"ZCCHC16"	1	0	1
"1797"	"RBMXL3"	1	0	1
"1798"	"LUZP4"	0.0888888888888888	Inf	0.633828160143949
"1799"	"SLC6A14"	1	0	1
"1800"	"CT83"	0.170786516853933	10.8909548109933	0.827504134275072
"1801"	"KLHL13"	0.246169560776302	5.5131938040198	1
"1802"	"DOCK11"	0.246169560776302	5.5131938040198	1
"1803"	"ZCCHC12"	1	0	1
"1804"	"KIAA1210"	1	0	1
"1805"	"PGRMC1"	0.0888888888888888	Inf	0.633828160143949
"1806"	"NKRF"	1	0	1
"1807"	"SEPT6"	1	0	1
"1808"	"THOC2"	1	0	1
"1809"	"TENM1"	1	0	1
"1810"	"DCAF12L2"	1	0	1
"1811"	"PRR32"	0.0888888888888888	Inf	0.633828160143949
"1812"	"ACTRT1"	0.246169560776302	5.5131938040198	1
"1813"	"SMARCA1"	1	0	1
"1814"	"ZDHHC9"	1	0	1
"1815"	"UTP14A"	1	0	1
"1816"	"BCORL1"	1	0	1
"1817"	"ENOX2"	1	0	1
"1818"	"FRMD7"	1	0	1
"1819"	"RAP2C"	0.0607849031751792	8.3592487907847	0.633828160143949
"1820"	"DDX26B"	1	0	1
"1821"	"SAGE1"	1	0	1
"1822"	"SLC9A6"	1	0	1
"1823"	"FHL1"	1	0	1
"1824"	"GPR112"	1	0	1
"1825"	"FGF13"	1	0	1
"1826"	"MAGEC1"	0.170786516853933	10.8909548109933	0.827504134275072
"1827"	"SPANXN3"	1	0	1
"1828"	"SLITRK4"	1	0	1
"1829"	"UBE2NL"	1	0	1
"1830"	"SLITRK2"	1	0	1
"1831"	"MIR892A"	1	0	1
"1832"	"MIR506"	1	0	1
"1833"	"MIR509-1"	0.379162902098847	2.74050267948522	1
"1834"	"AFF2"	1	0	1
"1835"	"IDS"	1	0	1
"1836"	"MAGEA11"	1	0	1
"1837"	"MTM1"	1	0	1
"1838"	"MTMR1"	1	0	1
"1839"	"GPR50"	1	0	1
"1840"	"FATE1"	0.0888888888888888	Inf	0.633828160143949
"1841"	"CNGA2"	1	0	1
"1842"	"PNMA5"	0.0888888888888888	Inf	0.633828160143949
"1843"	"PNMA3"	0.170786516853933	10.8909548109933	0.827504134275072
"1844"	"MAGEA1"	0.170786516853933	10.8909548109933	0.827504134275072
"1845"	"TREX2"	1	0	1
"1846"	"ATP2B3"	1	0	1
"1847"	"PNCK"	0.170786516853933	10.8909548109933	0.827504134275072
"1848"	"SLC6A8"	1	0	1
"1849"	"PLXNB3"	0.0888888888888888	Inf	0.633828160143949
"1850"	"IDH3G"	1	0	1
"1851"	"HCFC1"	1	0	1
"1852"	"SLC10A3"	1	0	1
"1853"	"G6PD"	1	0	1
"1854"	"GAB3"	1	0	1
"1855"	"DKC1"	1	0	1
"1856"	"F8"	0.170786516853933	10.8909548109933	0.827504134275072
"1857"	"MTCP1"	1	0	1
"1858"	"IL9R"	1	0	1
"1859"	"PLCH2"	0.0888888888888888	Inf	0.633828160143949
"1860"	"MPL"	1	0	1
"1861"	"BRDT"	1	0	1
"1862"	"PAX2"	0.170786516853933	10.8909548109933	0.827504134275072
"1863"	"NLRP10"	1	0	1
"1864"	"MED13L"	1	0	1
"1865"	"KRTAP9-1"	1	0	1
"1866"	"EFTUD2"	1	0	1
"1867"	"SHOX2"	1	0	1
"1868"	"FYB"	1	0	1
"1869"	"TNPO1"	1	0	1
"1870"	"PTPRF"	0.0888888888888888	Inf	0.633828160143949
"1871"	"CTNNA3"	1	0	1
"1872"	"HMX2"	1	0	1
"1873"	"PDGFD"	0.0888888888888888	Inf	0.633828160143949
"1874"	"MYBPC1"	1	0	1
"1875"	"DACH1"	1	0	1
"1876"	"EHD4"	1	0	1
"1877"	"ULK3"	1	0	1
"1878"	"TEKT5"	1	0	1
"1879"	"FAM65A"	1	0	1
"1880"	"CDRT15L2"	0.315487302314114	3.67391382113383	1
"1881"	"PIPOX"	0.0888888888888888	Inf	0.633828160143949
"1882"	"ABCA5"	1	0	1
"1883"	"RBFOX3"	1	0	1
"1884"	"MEIS1"	1	0	1
"1885"	"LOXL3"	0.00699126092384519	Inf	0.633828160143949
"1886"	"DNPEP"	1	0	1
"1887"	"LAMP5"	0.0888888888888888	Inf	0.633828160143949
"1888"	"TMPRSS15"	1	0	1
"1889"	"KRTAP15-1"	1	0	1
"1890"	"TRH"	1	0	1
"1891"	"COL6A5"	1	0	1
"1892"	"TM4SF1"	1	0	1
"1893"	"HLA-DQB2"	0.170786516853933	10.8909548109933	0.827504134275072
"1894"	"ICA1"	1	0	1
"1895"	"ADCY1"	1	1.15671375981899	1
"1896"	"HGF"	1	0	1
"1897"	"EPO"	0.0200204290091931	24.56021585398	0.633828160143949
"1898"	"PLOD3"	0.0888888888888888	Inf	0.633828160143949
"1899"	"DENND2A"	1	0	1
"1900"	"FAM115A"	1	0	1
"1901"	"OR13H1"	1	0	1
"1902"	"RRAGC"	1	0	1
"1903"	"ZCCHC11"	1	0	1
"1904"	"SSBP3"	1	0	1
"1905"	"ERICH3"	1	0	1
"1906"	"NBPF14"	1	0	1
"1907"	"SWT1"	1	0	1
"1908"	"OR52K2"	0.170786516853933	10.8909548109933	0.827504134275072
"1909"	"B4GALNT3"	1	0	1
"1910"	"CLEC4C"	1	0	1
"1911"	"TBX5"	1	0	1
"1912"	"SACS"	1	0	1
"1913"	"PABPC3"	0.0888888888888888	Inf	0.633828160143949
"1914"	"EBPL"	1	0	1
"1915"	"UGGT2"	1	0	1
"1916"	"NDUFB1"	1	0	1
"1917"	"KIFC3"	1	0	1
"1918"	"KCNG4"	1	0	1
"1919"	"C17orf97"	1	0	1
"1920"	"C17orf96"	1	0	1
"1921"	"DNAH17"	1	0	1
"1922"	"WDR7"	1	0	1
"1923"	"FUT3"	1	0	1
"1924"	"HAPLN4"	1	0	1
"1925"	"ZNF229"	1	0	1
"1926"	"MARCH4"	0.170786516853933	10.8909548109933	0.827504134275072
"1927"	"TIGD1"	1	0	1
"1928"	"MYEOV2"	0.170786516853933	10.8909548109933	0.827504134275072
"1929"	"ATF4"	1	0	1
"1930"	"KLHDC8B"	0.170786516853933	10.8909548109933	0.827504134275072
"1931"	"STAB1"	1	0	1
"1932"	"DNAJC13"	0.246169560776302	5.5131938040198	1
"1933"	"FBXO8"	1	0	1
"1934"	"NUP155"	1	0	1
"1935"	"SOWAHA"	1	0	1
"1936"	"C5orf52"	1	0	1
"1937"	"MICAL1"	1	0	1
"1938"	"NACAD"	1	0	1
"1939"	"ZNF394"	1	0	1
"1940"	"NUTM2F"	1	0	1
"1941"	"MXRA5"	1	0	1
"1942"	"ARMCX1"	0.315487302314114	3.67391382113383	1
"1943"	"ATP11C"	1	0	1
"1944"	"CHMP4C"	1	0	1
"1945"	"SLC25A37"	1	0	1
"1946"	"HES3"	0.170786516853933	10.8909548109933	0.827504134275072
"1947"	"LUZP1"	0.170786516853933	10.8909548109933	0.827504134275072
"1948"	"ANKRD16"	1	0	1
"1949"	"RPP38"	1	0	1
"1950"	"DDX50"	1	0	1
"1951"	"CNNM1"	1	0	1
"1952"	"PDZD7"	0.0888888888888888	Inf	0.633828160143949
"1953"	"EPS8L2"	1	0	1
"1954"	"MUC6"	1	0	1
"1955"	"OR52B6"	0.170786516853933	10.8909548109933	0.827504134275072
"1956"	"KLHL42"	1	0	1
"1957"	"LARP4"	0.170786516853933	10.8909548109933	0.827504134275072
"1958"	"MARS"	0.0888888888888888	Inf	0.633828160143949
"1959"	"PLEKHH1"	0.0888888888888888	Inf	0.633828160143949
"1960"	"CATSPERB"	1	0	1
"1961"	"RABEP2"	1	0	1
"1962"	"P2RX5"	0.0888888888888888	Inf	0.633828160143949
"1963"	"KDM6B"	1	0	1
"1964"	"RARA"	1	0	1
"1965"	"KRT39"	1	0	1
"1966"	"ASB16"	1	0	1
"1967"	"CDC27"	1	0	1
"1968"	"SYT4"	1	0	1
"1969"	"MAP1S"	0.0888888888888888	Inf	0.633828160143949
"1970"	"MYBPC2"	1	0	1
"1971"	"LILRB2"	0.0888888888888888	Inf	0.633828160143949
"1972"	"STON1"	1	0	1
"1973"	"ASTL"	1	0	1
"1974"	"PGAP1"	0.246169560776302	5.5131938040198	1
"1975"	"LRRN4"	0.0888888888888888	Inf	0.633828160143949
"1976"	"FRG1B"	1	0	1
"1977"	"MYLK2"	0.170786516853933	10.8909548109933	0.827504134275072
"1978"	"MMP9"	1	0	1
"1979"	"CASS4"	1	0	1
"1980"	"PRODH"	0.0888888888888888	Inf	0.633828160143949
"1981"	"MMP11"	0.170786516853933	10.8909548109933	0.827504134275072
"1982"	"PKDREJ"	0.0888888888888888	Inf	0.633828160143949
"1983"	"AREG"	1	0	1
"1984"	"TENM3"	1	0	1
"1985"	"TRIP13"	1	0	1
"1986"	"PAPD7"	0.0888888888888888	Inf	0.633828160143949
"1987"	"NLN"	1	0	1
"1988"	"SLC35B3"	1	0	1
"1989"	"MLN"	1	0	1
"1990"	"GLI3"	0.170786516853933	10.8909548109933	0.827504134275072
"1991"	"LAMB4"	0.0888888888888888	Inf	0.633828160143949
"1992"	"CLDN23"	0.170786516853933	10.8909548109933	0.827504134275072
"1993"	"CCAR2"	1	0	1
"1994"	"STMN2"	1	0	1
"1995"	"TMEM74"	1	0	1
"1996"	"SCRIB"	1	0	1
"1997"	"KIAA0368"	1	0	1
"1998"	"KIAA1211"	1	0	1
"1999"	"ARHGEF26"	1	0	1
"2000"	"KIAA1522"	1	0	1
"2001"	"GJA4"	1	0	1
"2002"	"SEMA6C"	1	0	1
"2003"	"FCRL5"	1	0	1
"2004"	"CD1A"	1	0	1
"2005"	"CAPN2"	0.0200204290091931	24.56021585398	0.633828160143949
"2006"	"TFAM"	1	0	1
"2007"	"CNNM2"	1	0	1
"2008"	"MEN1"	1	0	1
"2009"	"KRT8"	1	0	1
"2010"	"TNFSF11"	1	0	1
"2011"	"ZC3H13"	0.0200204290091931	24.56021585398	0.633828160143949
"2012"	"COL4A1"	1	0	1
"2013"	"ZNF219"	1	0	1
"2014"	"EXD1"	1	0	1
"2015"	"FTO"	1	0	1
"2016"	"HSD17B1"	1	0	1
"2017"	"GOSR2"	1	0	1
"2018"	"ZNF516"	1	0	1
"2019"	"WDR87"	1	0	1
"2020"	"ZC3H4"	1	0	1
"2021"	"CDC42EP5"	1	0	1
"2022"	"TMEM247"	1	0	1
"2023"	"AQP12A"	1	0	1
"2024"	"ZNF217"	1	0	1
"2025"	"POTED"	0.170786516853933	10.8909548109933	0.827504134275072
"2026"	"ZNRF3"	0.0888888888888888	Inf	0.633828160143949
"2027"	"RHOA"	1	0	1
"2028"	"FRMD4B"	1	0	1
"2029"	"ARGFX"	1	0	1
"2030"	"COPG1"	1	0	1
"2031"	"FAM184B"	1	0	1
"2032"	"IRF2"	0.170786516853933	10.8909548109933	0.827504134275072
"2033"	"TERT"	1	0	1
"2034"	"CCDC125"	1	0	1
"2035"	"PCDHB3"	0.0888888888888888	Inf	0.633828160143949
"2036"	"FAM114A2"	1	0	1
"2037"	"HIST1H2AG"	1	0	1
"2038"	"SLC44A4"	1	0	1
"2039"	"HYAL4"	1	0	1
"2040"	"MCPH1"	1	0	1
"2041"	"MTUS1"	1	0	1
"2042"	"AKAP2"	1	0	1
"2043"	"MEGF9"	1	0	1
"2044"	"NOTCH1"	1	0	1
"2045"	"TBP"	1	0	1
"2046"	"MFF"	1	0	1
"2047"	"GABRA6"	1	0	1
"2048"	"CYP4B1"	1	0	1
"2049"	"CTBS"	1	0	1
"2050"	"SPRR3"	1	0	1
"2051"	"PROSER2"	0.170786516853933	10.8909548109933	0.827504134275072
"2052"	"AGAP11"	1	0	1
"2053"	"KNDC1"	0.170786516853933	10.8909548109933	0.827504134275072
"2054"	"OR9G4"	0.170786516853933	10.8909548109933	0.827504134275072
"2055"	"USP35"	1	0	1
"2056"	"UBE3B"	1	0	1
"2057"	"PPTC7"	0.0888888888888888	Inf	0.633828160143949
"2058"	"NPAP1"	1	0	1
"2059"	"CAPN15"	0.0200204290091931	24.56021585398	0.633828160143949
"2060"	"ALOX12"	1	0	1
"2061"	"NF1"	1	0	1
"2062"	"EPX"	0.170786516853933	10.8909548109933	0.827504134275072
"2063"	"GRIN3B"	1	0	1
"2064"	"RGS9BP"	1	0	1
"2065"	"GEMIN7"	1	0	1
"2066"	"FEZ2"	1	0.834934380927452	1
"2067"	"USP34"	1	0	1
"2068"	"PRR21"	0.0888888888888888	Inf	0.633828160143949
"2069"	"KRTAP10-1"	0.00436348564440254	21.8907076105397	0.633828160143949
"2070"	"CCDC157"	1	0	1
"2071"	"CDPF1"	1	0	1
"2072"	"NUP210"	1	0	1
"2073"	"CCDC71"	1	0	1
"2074"	"OPA1"	1	0	1
"2075"	"ZAR1"	1	0	1
"2076"	"AMBN"	0.170786516853933	10.8909548109933	0.827504134275072
"2077"	"FAM170A"	1	0	1
"2078"	"BTN2A3P"	1	0	1
"2079"	"TCTE1"	1	0	1
"2080"	"GET4"	1	0	1
"2081"	"AP5Z1"	0.170786516853933	10.8909548109933	0.827504134275072
"2082"	"SURF6"	1	0	1
"2083"	"TLR7"	1	0	1
"2084"	"MAGT1"	0.0888888888888888	Inf	0.633828160143949
"2085"	"PLXNA3"	0.00699126092384519	Inf	0.633828160143949
"2086"	"AKR7L"	0.315487302314114	3.67391382113383	1
"2087"	"AKR7A3"	1	0	1
"2088"	"CFH"	1	0	1
"2089"	"ASPM"	1	0	1
"2090"	"OR2T27"	1	0	1
"2091"	"FADD"	1	0	1
"2092"	"C2CD2L"	0.315487302314114	3.67391382113383	1
"2093"	"KIAA1551"	0.170786516853933	10.8909548109933	0.827504134275072
"2094"	"CPSF6"	1	0	1
"2095"	"PCCA"	0.170786516853933	10.8909548109933	0.827504134275072
"2096"	"NOVA1"	1	0	1
"2097"	"SERPINA3"	1	0	1
"2098"	"KBTBD13"	1	0	1
"2099"	"FANCI"	0.0888888888888888	Inf	0.633828160143949
"2100"	"OR4F15"	0.170786516853933	10.8909548109933	0.827504134275072
"2101"	"NTN3"	1	0	1
"2102"	"ZNF764"	1	0	1
"2103"	"TGFB1I1"	1	0	1
"2104"	"PLD2"	0.170786516853933	10.8909548109933	0.827504134275072
"2105"	"KRT34"	1	0	1
"2106"	"SPATA32"	1	0	1
"2107"	"MOCOS"	1	0	1
"2108"	"ATP9B"	1	0	1
"2109"	"C19orf71"	1	0	1
"2110"	"KEAP1"	1	0	1
"2111"	"SMARCA4"	1	0	1
"2112"	"ZNF714"	1	0	1
"2113"	"PRX"	0.0888888888888888	Inf	0.633828160143949
"2114"	"PPFIA3"	0.0888888888888888	Inf	0.633828160143949
"2115"	"NLRP9"	0.170786516853933	10.8909548109933	0.827504134275072
"2116"	"ZNF772"	0.0888888888888888	Inf	0.633828160143949
"2117"	"NCK2"	1	0	1
"2118"	"STK39"	1	0	1
"2119"	"SIRPA"	1	0	1
"2120"	"KIAA1755"	1	0	1
"2121"	"TRIM71"	1	0	1
"2122"	"FAM47E"	1	0	1
"2123"	"DSPP"	0.170786516853933	10.8909548109933	0.827504134275072
"2124"	"ZNF474"	1	0	1
"2125"	"LMNB1"	0.0888888888888888	Inf	0.633828160143949
"2126"	"HOXA9"	1	0	1
"2127"	"GSAP"	1	0	1
"2128"	"KRBA1"	1	0	1
"2129"	"ADAM7"	0.657926900559719	1.36975717033488	1
"2130"	"BICD2"	1	0	1
"2131"	"PHF2"	0.0888888888888888	Inf	0.633828160143949
"2132"	"FPGS"	1	0	1
"2133"	"ATXN3L"	1	0	1
"2134"	"ZRSR2"	0.0888888888888888	Inf	0.633828160143949
"2135"	"ZNF185"	1	0	1
"2136"	"MPP1"	1	0	1
"2137"	"MCC"	0.0888888888888888	Inf	0.633828160143949
"2138"	"HNRNPA0"	1	0	1
"2139"	"LILRB1"	0.0888888888888888	Inf	0.633828160143949
"2140"	"C1orf158"	1	0	1
"2141"	"NIPAL3"	1	0	1
"2142"	"TRNP1"	1	0	1
"2143"	"RPRD2"	1	0	1
"2144"	"INTS3"	0.170786516853933	10.8909548109933	0.827504134275072
"2145"	"KCNN3"	1	0	1
"2146"	"GPA33"	1	0	1
"2147"	"PRG4"	0.0888888888888888	Inf	0.633828160143949
"2148"	"ZNF281"	1	0	1
"2149"	"FLVCR1"	1	0	1
"2150"	"PCNXL2"	0.0888888888888888	Inf	0.633828160143949
"2151"	"HEATR1"	1	0	1
"2152"	"LIPN"	0.0888888888888888	Inf	0.633828160143949
"2153"	"IFIT1B"	0.315487302314114	3.67391382113383	1
"2154"	"PLCE1"	0.0888888888888888	Inf	0.633828160143949
"2155"	"CFAP58"	1	0	1
"2156"	"TCF7L2"	1	0	1
"2157"	"TH"	1	0	1
"2158"	"OR51E2"	1	0	1
"2159"	"CTR9"	1	0	1
"2160"	"OR4C16"	1	0	1
"2161"	"SIK2"	1	0	1
"2162"	"USP28"	1	0	1
"2163"	"VSIG2"	1	0	1
"2164"	"FGF23"	1	0	1
"2165"	"SCNN1A"	1	0	1
"2166"	"PTPN6"	0.0888888888888888	Inf	0.633828160143949
"2167"	"ARID2"	1	0	1
"2168"	"KIF5A"	1	0	1
"2169"	"SYCP3"	1	0	1
"2170"	"LHX5"	0.0888888888888888	Inf	0.633828160143949
"2171"	"GCN1L1"	1	0	1
"2172"	"CLIP1"	1	0	1
"2173"	"CEBPE"	1	0	1
"2174"	"ALKBH1"	1	0	1
"2175"	"SNW1"	0.170786516853933	10.8909548109933	0.827504134275072
"2176"	"CDC42BPB"	0.170786516853933	10.8909548109933	0.827504134275072
"2177"	"C14orf180"	1	0	1
"2178"	"C15orf59"	1	0	1
"2179"	"CSPG4"	1	0	1
"2180"	"RASGRF1"	1	0	1
"2181"	"HOMER2"	1	0	1
"2182"	"RCCD1"	1	0	1
"2183"	"C16orf89"	1	0	1
"2184"	"ABCC6"	1	0	1
"2185"	"CLN3"	1	0	1
"2186"	"VPS35"	1	0	1
"2187"	"DNAJA2"	0.315487302314114	3.67391382113383	1
"2188"	"CDH5"	0.246169560776302	5.5131938040198	1
"2189"	"KLHDC4"	1	0	1
"2190"	"NOS2"	1	0	1
"2191"	"RAD51D"	1	0	1
"2192"	"AATF"	1	0.760398609640987	1
"2193"	"C17orf78"	1	0	1
"2194"	"KRTAP4-11"	1	0	1
"2195"	"KRT32"	1	0	1
"2196"	"WFIKKN2"	1	0	1
"2197"	"TBX4"	1	0	1
"2198"	"CCDC178"	1	0	1
"2199"	"ADAT3"	0.170786516853933	10.8909548109933	0.827504134275072
"2200"	"DOHH"	1	0	1
